Component Name,File Path,Compatibility Level,Total Issues,Blocking Issues,High Issues,Auto-fixable Issues,Uses Hooks,Browser APIs,DOM Access,Can be Server Side,Refactoring Actions
SPCChartRareEventExample,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/charts/SPC/SPCChart/SPCChartRareEventExample.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
SPCChartStableWaitTimeExample,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/charts/SPC/SPCChart/SPCChartStableWaitTimeExample.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
SPCChartWarningsPanelExample,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/charts/SPC/SPCChart/SPCChartWarningsPanelExample.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
SPCSignalsInspector,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/charts/SPC/SPCChart/SPCSignalsInspector.tsx,fully-compatible,1,0,0,0,true,false,false,true,0
SPCTooltipOverlay,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/charts/SPC/SPCChart/SPCTooltipOverlay.tsx,compatible-with-hydration,2,0,0,0,true,true,false,false,0
TrendGatingEmbeddedComparison,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/charts/SPC/SPCChart/TrendGatingEmbeddedComparison.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
TrendGatingEmbeddedHighNoGateStory,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/charts/SPC/SPCChart/TrendGatingEmbeddedHighNoGateStory.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
TrendGatingEmbeddedHighStory,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/charts/SPC/SPCChart/TrendGatingEmbeddedHighStory.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
SPCRuleClashExamples,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/charts/SPC/SPCChart/logic/SPCRuleClashExamples.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
spc,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/charts/SPC/SPCChart/logic/spc.ts,requires-refactoring,2,2,0,2,false,false,false,false,1
spcAssurance,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/charts/SPC/SPCChart/logic/spcAssurance.ts,fully-compatible,0,0,0,0,false,false,false,true,0
spcCandidates,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/charts/SPC/SPCChart/logic/spcCandidates.ts,fully-compatible,0,0,0,0,false,false,false,true,0
spcConstants,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/charts/SPC/SPCChart/logic/spcConstants.ts,fully-compatible,0,0,0,0,false,false,false,true,0
spcDescriptors,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/charts/SPC/SPCChart/logic/spcDescriptors.ts,fully-compatible,0,0,0,0,false,false,false,true,0
spcProvenance,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/charts/SPC/SPCChart/logic/spcProvenance.ts,fully-compatible,0,0,0,0,false,false,false,true,0
spcSqlCompat,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/charts/SPC/SPCChart/logic/spcSqlCompat.ts,fully-compatible,0,0,0,0,false,false,false,true,0
spcUtils,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/charts/SPC/SPCChart/logic/spcUtils.ts,fully-compatible,0,0,0,0,false,false,false,true,0
parsedDataset,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/charts/SPC/SPCChart/test-data/parsedDataset.ts,fully-compatible,0,0,0,0,false,false,false,true,0
spcTestCases,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/charts/SPC/SPCChart/test-data/spcTestCases.ts,requires-refactoring,1,1,0,1,false,false,false,false,1
SPCAssuranceIcon,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/charts/SPC/SPCIcons/SPCAssuranceIcon.tsx,fully-compatible,0,0,0,0,true,false,false,true,0
SPCConstants,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/charts/SPC/SPCIcons/SPCConstants.ts,fully-compatible,0,0,0,0,false,false,false,true,0
SPCIcon,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/charts/SPC/SPCIcons/SPCIcon.tsx,fully-compatible,0,0,0,0,true,false,false,true,0
ShiftPolarityExamples,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/charts/SPC/SPCIcons/examples/ShiftPolarityExamples.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
tokenUtils,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/charts/SPC/SPCIcons/tokenUtils.ts,fully-compatible,0,0,0,0,false,false,false,true,0
SPCSpark,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/charts/SPC/SPCSpark/SPCSpark.tsx,fully-compatible,1,0,0,0,true,false,false,true,0
SPCSpark.types,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/charts/SPC/SPCSpark/SPCSpark.types.ts,requires-refactoring,1,1,0,1,false,false,false,false,1
icons,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/charts/SPC/icons.ts,fully-compatible,0,0,0,0,false,false,false,true,0
BandScalesProvider,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/core/BandScalesProvider.tsx,fully-compatible,0,0,0,0,true,false,false,true,0
ChartRoot,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/core/ChartRoot.tsx,fully-compatible,0,0,0,0,true,false,false,true,0
ScaleContext,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/core/ScaleContext.tsx,fully-compatible,0,0,0,0,true,false,false,true,0
TooltipContext,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/core/TooltipContext.tsx,fully-compatible,1,0,0,0,true,false,false,true,0
VisibilityContext,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/core/VisibilityContext.tsx,fully-compatible,0,0,0,0,true,false,false,true,0
useChartDimensions,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/hooks/useChartDimensions.ts,client-only,2,0,2,2,true,false,false,false,1
useFocusNav,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/hooks/useFocusNav.ts,requires-refactoring,4,2,0,3,true,false,false,false,1
wizardEngine,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/logic/wizardEngine.ts,fully-compatible,0,0,0,0,false,false,false,true,0
wizardTypes,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/logic/wizardTypes.ts,fully-compatible,0,0,0,0,false,false,false,true,0
AlertMarkers,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/primitives/AlertMarkers.tsx,fully-compatible,0,0,0,0,true,false,false,true,0
TooltipOverlay,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/primitives/TooltipOverlay.tsx,fully-compatible,0,0,0,0,true,false,false,true,0
VisuallyHiddenLiveRegion,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/primitives/VisuallyHiddenLiveRegion.tsx,compatible-with-hydration,1,0,0,0,true,true,false,false,0
AreaSeriesPrimitive,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/series/AreaSeriesPrimitive.tsx,fully-compatible,1,0,0,0,true,false,false,true,0
BarSeriesPrimitive,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/series/BarSeriesPrimitive.tsx,fully-compatible,1,0,0,0,true,false,false,true,0
LineSeriesPrimitive,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/series/LineSeriesPrimitive.tsx,fully-compatible,1,0,0,0,true,false,false,true,0
deterministic,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/stories/utils/deterministic.ts,fully-compatible,0,0,0,0,false,false,false,true,0
colors,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/utils/colors.ts,fully-compatible,0,0,0,0,false,false,false,true,0
computeContinuousBarWidth,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/utils/computeContinuousBarWidth.ts,fully-compatible,0,0,0,0,false,false,false,true,0
patterns,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/utils/patterns.ts,requires-refactoring,3,3,0,3,false,false,true,false,1
scales,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/utils/scales.ts,fully-compatible,0,0,0,0,false,false,false,true,0
stack,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/utils/stack.ts,fully-compatible,0,0,0,0,false,false,false,true,0
ReviewAnswers,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/wizard/ReviewAnswers.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
WizardProgress,/Users/fergusbisset/Dropbox/Sites/nhs-fdp-design-system/src/components/DataVisualisation/wizard/WizardProgress.tsx,fully-compatible,0,0,0,0,false,false,false,true,0
